ressort,url,initial_status,final_status,title,description,hreflang,canonical_url,uses_gsb
AA,https://150jahreaa-anmeldung.de,unavailable,unavailable,,,,,
AA,https://agz-cct.eu,301,200,Deutsch-französischer Ausschuss für die Grenzüberschreitende Zusammenarbeit (AGZ) - Auswärtiges Amt,Webseite des Auswärtigen Amts,,https://agz-cct.diplo.de/agz-cct-de,False
AA,https://alemagne.eu,unavailable,unavailable,,,,,
AA,https://alemanha.eu,unavailable,unavailable,,,,,
AA,https://alemania-en-el-consejo-de-seguridad.de,unavailable,unavailable,,,,,
AA,https://alemania.eu,unavailable,unavailable,,,,,
AA,https://alemanna.eu,unavailable,unavailable,,,,,
AA,https://allemagne-au-conseil-de-securite.de,unavailable,unavailable,,,,,
AA,https://allemagne.eu,unavailable,unavailable,,,,,
AA,https://allianceformultilateralism.org,unavailable,unavailable,,,,,
AA,https://as-it.org,unavailable,unavailable,,,,,
AA,https://auslands-it.de,unavailable,unavailable,,,,,
AA,https://auslandschulwesen.de,unavailable,unavailable,,,,,
AA,https://auslandsit.de,unavailable,unavailable,,,,,
AA,https://auslandsschulportal.de,unavailable,unavailable,,,,,
AA,https://auslandsschulwesen.de,301,200,ZfA  -  Startseite,Homepage des deutschsprachigen Auftritts,,https://www.auslandsschulwesen.de/DE/Home/home_node.html,True
AA,https://auslandsschulwesen.net,unavailable,unavailable,,,,,
AA,https://aussenminister.de,unavailable,unavailable,,,,,
AA,https://aussenminister.eu,unavailable,unavailable,,,,,
AA,https://aussenministerin.de,unavailable,unavailable,,,,,
AA,https://aussenministerium.de,unavailable,unavailable,,,,,
AA,https://aussenministerium.eu,unavailable,unavailable,,,,,
AA,https://auswaeriges-amt.de,unavailable,unavailable,,,,,
AA,https://auswaertige-amt.de,unavailable,unavailable,,,,,
AA,https://auswaertiges-amt.de,301,200,Auswärtiges Amt  - Auswärtiges Amt,Infos zur deutschen Außenpolitik aus erster Hand und zu einer Karriere im Auswärtigen Dienst. Außerdem die Reise- und Sicherheitshinweise und wichtige Infos zu jedem Land.,,https://www.auswaertiges-amt.de/de,False
AA,https://auswaertigesamt.com,unavailable,unavailable,,,,,
AA,https://auswaertigesamt.de,unavailable,unavailable,,,,,
AA,https://auswaertigesamt.eu,unavailable,unavailable,,,,,
AA,https://auswaertigesamt.mobi,unavailable,unavailable,,,,,
AA,https://auswaertigesamt.us,unavailable,unavailable,,,,,
AA,https://auswartiges-amt.de,unavailable,unavailable,,,,,
AA,https://bundesaufnahmeprogramm.de,302,200,برنامه پذیرش برای افغانستان - وزارت امور خارجه آلمان,وب‌سایت وزارت امور خارجه,,https://bundesaufnahmeprogrammafghanistan.de/bundesaufnahme-fa,False
AA,https://bundesaufnahmeprogrammafghanistan.de,301,200,برنامه پذیرش برای افغانستان - وزارت امور خارجه آلمان,وب‌سایت وزارت امور خارجه,,https://bundesaufnahmeprogrammafghanistan.de/bundesaufnahme-fa,False
AA,https://comm-io.de,unavailable,unavailable,,,,,
AA,https://comm-io.net,unavailable,unavailable,,,,,
AA,https://commio.de,unavailable,unavailable,,,,,
AA,https://commio.net,unavailable,unavailable,,,,,
AA,https://contentformigrants.info,unavailable,unavailable,,,,,
AA,https://das-ist-diplomatie.com,unavailable,unavailable,,,,,
AA,https://das-ist-diplomatie.de,unavailable,unavailable,,,,,
AA,https://de2007.eu,unavailable,unavailable,,,,,
AA,https://deutschland-germany.de,unavailable,unavailable,,,,,
AA,https://deutschland-germany.eu,unavailable,unavailable,,,,,
AA,https://deutschland-germany.org,unavailable,unavailable,,,,,
AA,https://deutschland-im-ausland.de,unavailable,unavailable,,,,,
AA,https://deutschland-im-sicherheitsrat.de,unavailable,unavailable,,,,,
AA,https://deutschland-in-den-vn.de,unavailable,unavailable,,,,,
AA,https://deutschland-und-china.de,unavailable,unavailable,,,,,
AA,https://deutschland.de,403,403,,,,,
AA,https://deutschland.eu,unavailable,unavailable,,,,,
AA,https://deutschland.info,unavailable,unavailable,,,,,
AA,https://deutschlandbild-im-ausland.de,unavailable,unavailable,,,,,
AA,https://deutschlandbildimausland.de,unavailable,unavailable,,,,,
AA,https://deutschlandde.de,unavailable,unavailable,,,,,
AA,https://diplo.de,301,200,Auswärtiges Amt  - Auswärtiges Amt,Infos zur deutschen Außenpolitik aus erster Hand und zu einer Karriere im Auswärtigen Dienst. Außerdem die Reise- und Sicherheitshinweise und wichtige Infos zu jedem Land.,,https://www.auswaertiges-amt.de/de,False
AA,https://diploaa.de,unavailable,unavailable,,,,,
AA,https://diplomatenakademie.de,unavailable,unavailable,,,,,
AA,https://diplomatenkolleg.de,unavailable,unavailable,,,,,
AA,https://diplothek.com,301,200,Diplothek,,,,False
AA,https://diplothek.de,301,200,Diplothek,,,,False
AA,https://dsd-weltweit.de,200,200,DSD LÃ¤nderprojekte,,,,False
AA,https://dsd.online,unavailable,unavailable,,,,,
AA,https://duitsland.eu,unavailable,unavailable,,,,,
AA,https://energiewende-global.com,200,200,home - Energy in Transition - Powering Tomorrow,"Den globalen Temperaturanstieg auf deutlich unter 2°C, wenn möglich 1,5°C, begrenzen. Das ist das Ziel der internationalen Staatengemeinschaft. Regierungen,","en, de, x-default",https://energiewende-global.com/,False
AA,https://eu-2007.de,unavailable,unavailable,,,,,
AA,https://eu-praesidentschaft.info,unavailable,unavailable,,,,,
AA,https://eu-praesidentschaft.org,unavailable,unavailable,,,,,
AA,https://eu-ratspraesidentschaft.info,unavailable,unavailable,,,,,
AA,https://eu-ratspraesidentschaft.org,unavailable,unavailable,,,,,
AA,https://eu2007.org,unavailable,unavailable,,,,,
AA,https://eu2019.de,unavailable,unavailable,,,,,
AA,https://eu2020.de,301,200,Die deutsche Präsidentschaft im Rat der Europäischen Union - EU2020 - DE,Offizielle Webseite zur deutschen Präsidentschaft im Rat der europäischen Union (Juli bis Dezember 2020).,,https://www.eu2020.de/eu2020-de,False
AA,https://eu2021.de,unavailable,unavailable,,,,,
AA,https://eu2022.de,unavailable,unavailable,,,,,
AA,https://eu50.eu,unavailable,unavailable,,,,,
AA,https://eupraesidentschaft.de,unavailable,unavailable,,,,,
AA,https://federalrepublicofgermany.de,unavailable,unavailable,,,,,
AA,https://foreign-ministry.de,unavailable,unavailable,,,,,
AA,https://futbolwgermanii.info,unavailable,unavailable,,,,,
AA,https://gearmaine.eu,unavailable,unavailable,,,,,
AA,https://german-foreign-ministry.eu,unavailable,unavailable,,,,,
AA,https://germania.eu,unavailable,unavailable,,,,,
AA,https://germanja.eu,unavailable,unavailable,,,,,
AA,https://germansecuritycouncilseat.de,unavailable,unavailable,,,,,
AA,https://germany-in-the-un.de,unavailable,unavailable,,,,,
AA,https://germany-info.org,unavailable,unavailable,,,,,
AA,https://germany.eu,unavailable,unavailable,,,,,
AA,https://germany.info,301,200,German Missions in the United States - Federal Foreign Office ,Federal Foreign Office website,,https://www.germany.info/us-en,False
AA,https://h2diplo.com,unavailable,unavailable,,,,,
AA,https://h2diplo.de,200,200,H2 diplo – Decarbonization Diplomacy,,"en, x-default",https://h2diplo.de/,False
AA,https://infoafghanistan.de,unavailable,unavailable,,,,,
AA,https://internationalfutures.de,unavailable,unavailable,,,,,
AA,https://jobs-io.de,200,200,Personal- und Stellenpool - Startseite,Jobs-IO - Der Internationale Stellen- und Personalpool des Auswärtigen Amts,,,False
AA,https://kulturakademie-tarabya.de,302,200,Kulturakademie Tarabya | Creative Talks März 2025,Die Kulturakademie Tarabya ist eine Einrichtung der Bundesregierung. Sie wird von der Deutschen Botschaft Ankara betrieben und ist Teil der Kulturarbeit der Deutschen Botschaft in der Türkei. Die kuratorische Verantwortung für die Kulturakademie Tarabya trägt das Goethe-Institut.,"de, tr, en, x-default",,False
AA,https://menschenrechtsbeauftragter.de,unavailable,unavailable,,,,,
AA,https://multilateralism.org,unavailable,unavailable,,,,,
AA,https://multilateralismmatters.org,unavailable,unavailable,,,,,
AA,https://mundialalemania.info,unavailable,unavailable,,,,,
AA,https://nationalesicherheitsstrategie.de,301,200,Nationale Sicherheitsstrategie der Bundesrepublik Deutschland (DE),Nationale Sicherheitsstrategie der Bundesrepublik Deutschland,,https://www.nationalesicherheitsstrategie.de,False
AA,https://nemcija.eu,unavailable,unavailable,,,,,
AA,https://nemecko.eu,unavailable,unavailable,,,,,
AA,https://nemetorszag.eu,unavailable,unavailable,,,,,
AA,https://niemczech.eu,unavailable,unavailable,,,,,
AA,https://nowomennopeace.de,200,200,No Women No Peace - a virtual exhibition,Without Women no Peace: Peace processes to which women actively and substantially contribute are more sustainable and more effective. Organized by the Federal Foreign Office.,"de, en, es, fr, x-default",https://nowomennopeace.de/,False
AA,https://ohnefrauenkeinfrieden.de,200,200,Ohne Frauen kein Frieden - Virtuelle Ausstellung des Auswärtigen Amts,"Ohne Frauen kein Frieden: Friedensprozesse, an denen Frauen aktiv und substantiell mitwirken, sind nachhaltiger und effektiver.","de, en, es, fr, x-default",https://ohnefrauenkeinfrieden.de/,False
AA,https://pasdefemmespasdepaix.de,200,200,"Femmes, paix et sécurité - Une exposition virtuelle du ministère fédéral des Affaires étrangères",Pas de paix sans les femmes: Les processus de paix auxquels les femmes participent activement et de façon substantielle sont à la fois plus durables et plus efficaces.,"de, en, es, fr, x-default",https://pasdefemmespasdepaix.de/,False
AA,https://psi-online.info,301,200,Proliferation Security Initiative (PSI) - Homepage,Federal Foreign Office website,,https://www.psi-online.info/psi-info-en,False
AA,https://reisehinweise.mobi,unavailable,unavailable,,,,,
AA,https://rueckholprogramm.de,unavailable,unavailable,,,,,
AA,https://rumors-about-germany.com,unavailable,unavailable,,,,,
AA,https://rumors-about-germany.de,unavailable,unavailable,,,,,
AA,https://rumors-about-germany.eu,unavailable,unavailable,,,,,
AA,https://rumors-about-germany.info,unavailable,unavailable,,,,,
AA,https://rumors-about-germany.net,unavailable,unavailable,,,,,
AA,https://rumors-about-germany.org,unavailable,unavailable,,,,,
AA,https://rumorsaboutgermany.com,unavailable,unavailable,,,,,
AA,https://rumorsaboutgermany.de,unavailable,unavailable,,,,,
AA,https://rumorsaboutgermany.eu,unavailable,unavailable,,,,,
AA,https://rumorsaboutgermany.info,unavailable,unavailable,,,,,
AA,https://rumorsaboutgermany.net,unavailable,unavailable,,,,,
AA,https://rumorsaboutgermany.org,unavailable,unavailable,,,,,
AA,https://rumours-about-germany.com,unavailable,unavailable,,,,,
AA,https://rumours-about-germany.de,unavailable,unavailable,,,,,
AA,https://rumours-about-germany.eu,unavailable,unavailable,,,,,
AA,https://rumours-about-germany.info,unavailable,unavailable,,,,,
AA,https://rumours-about-germany.net,unavailable,unavailable,,,,,
AA,https://rumours-about-germany.org,unavailable,unavailable,,,,,
AA,https://rumoursaboutgermany.com,unavailable,unavailable,,,,,
AA,https://rumoursaboutgermany.de,unavailable,unavailable,,,,,
AA,https://rumoursaboutgermany.eu,unavailable,unavailable,,,,,
AA,https://rumoursaboutgermany.info,200,200,Rumours about Germany – Facts for migrants,Facts for migrants,"en, fr, ar, ur, fa-ir, ru, ti, x-default",https://rumoursaboutgermany.info/,False
AA,https://rumoursaboutgermany.net,unavailable,unavailable,,,,,
AA,https://rumoursaboutgermany.org,unavailable,unavailable,,,,,
AA,https://saksa.eu,unavailable,unavailable,,,,,
AA,https://saksamaa.eu,unavailable,unavailable,,,,,
AA,https://schulen-partner-zukunft.de,unavailable,unavailable,,,,,
AA,https://sinmujeresnohaypaz.de,200,200,"Las mujeres, la paz y la seguridad - Una exposición virtual del Ministerio Federal de Relaciones Exteriores",No hay paz sin mujeres: Los procesos de paz en los que participan las mujeres de manera activa y sustancial resultan más duraderos y efectivos.,"de, en, es, fr, x-default",https://sinmujeresnohaypaz.de/,False
AA,https://team-diplomatie.com,unavailable,unavailable,,,,,
AA,https://team-diplomatie.de,unavailable,unavailable,,,,,
AA,https://transatlantic-climate-bridge.info,unavailable,unavailable,,,,,
AA,https://transatlantic-climate-bridge.org,unavailable,unavailable,,,,,
AA,https://tyskland.eu,unavailable,unavailable,,,,,
AA,https://ue2007.de,unavailable,unavailable,,,,,
AA,https://vacija.eu,unavailable,unavailable,,,,,
AA,https://vokietijos.eu,unavailable,unavailable,,,,,
AA,https://wir-leben-diplomatie.com,unavailable,unavailable,,,,,
AA,https://wir-leben-diplomatie.de,unavailable,unavailable,,,,,
AA,https://world-cup-in-germany.de,unavailable,unavailable,,,,,
AA,https://wwwdeutschland.de,unavailable,unavailable,,,,,
AA,https://wwwdeutschland.eu,unavailable,unavailable,,,,,
BKAmt,https://www.bnd.bund.de,307,200,   Startseite | Bundesnachrichtendienst,Der BND ist der Auslandsnachrichtendienst Deutschlands. Er informiert die Bundesregierung tagesaktuell und objektiv zu außen- und sicherheitspolitischen Fragen.,,https://www.bnd.bund.de/DE/Startseite/startseite_node.html,True
BKAmt,https://open-government-deutschland.de,301,200,"
Open Government in Deutschland und Teilnahme an der OGP
",Informationsangebot zur Open Government Partnership (OGP) und Open Government (offenes Regierungs- und Verwaltungshandeln) des Bundeskanzleramts,en,https://www.open-government-deutschland.de/opengov-de,False
BKAmt,https://www.einbuergerung.de,301,200,Bundesregierung — Einbürgerung in Deutschland,"Offizielle Informationen der Bundesregierung. Hier erfahren Sie alles Wichtige zu Voraussetzungen, Ablauf und Nachweisen für eine Einbürgerung in Deutschland.",,,False
BKAmt,https://www.einbürgerung.de,301,200,Bundesregierung — Einbürgerung in Deutschland,"Offizielle Informationen der Bundesregierung. Hier erfahren Sie alles Wichtige zu Voraussetzungen, Ablauf und Nachweisen für eine Einbürgerung in Deutschland.",,,False
BKAmt,https://www.eu-gleichbehandlungsstelle.de,302,200,"
EU-Gleichbehandlungsstelle | Startseite
","Startseite der Beauftragten der Bundesregierung für Migration, Flüchtlinge und Integration Gleichbehandlungsstelle EU-Arbeitnehmer",,https://www.eu-gleichbehandlungsstelle.de/eugs-start,False
BKAmt,https://www.integrationsbeauftragte.de,302,200,"
Integrationsbeauftragte | Startseite
","Website der Beauftragten für Migration, Flüchtlinge und Integration",,https://www.integrationsbeauftragte.de/ib-de,False
BKAmt,https://www.ostbeauftragter.de,302,200,"
Der Ostbeauftragte der Bundesregierung informiert
","Willkommen auf der Website des Beauftragten der Bundesregierung für Ostdeutschland, Staatsminister Carsten Schneider. ",,https://www.ostbeauftragter.de/ostb-de,False
BKM,https://kunstverwaltung.bund.de/DE/Home/home_node.html,200,200,KVDB  -  Startseite,Homepage des deutschsprachigen Auftritts,,http://kunstverwaltung.bund.de/DE/Home/home_node.html,True
BKM,https://www.alles-wissen-wollen.de/,200,200,"Wanderausstellung ""Alles wissen wollen""","Wanderausstellung ""Alles wissen wollen""",en,https://www.alles-wissen-wollen.de/,False
BKM,https://www.bundesarchiv-lichterfelde.de/,200,200,Bundesarchiv Berlin-Lichterfelde - Home,,,,False
BKM,https://www.bundesarchiv.de/,200,200,Bundesarchiv,"Das Bundesarchiv online: Ihre zentrale Anlaufstelle für historische Dokumente, digitale Sammlungen und Informationen zur deutschen Geschichte.",,https://www.bundesarchiv.de/,False
BKM,https://www.ddr-im-blick.de/,200,200,DDR im Blick,"Die DDR im Blick der Staatssicherheit. Die geheimen Berichte, die die ZAIG des Ministeriums für Staatssicherheit 37 Jahre zur Information der",,https://www.ddr-im-blick.de/,False
BKM,https://www.demokratie-statt-diktatur.de/,200,200,Demokratie statt Diktatur,„Demokratie statt Diktatur“ will den Respekt für die Menschenrechte stärken. Damit ist es dem Ursprung der Öffnung des Stasi-Unterlagen-Archivs eng,,https://www.demokratie-statt-diktatur.de/,False
BKM,https://www.einblick-ins-geheime.de/,200,200,Einblick ins Geheime: Ausstellung zum Stasi-Unterlagen-Archiv,"Ein ""Monument der Überwachung"": Die Ausstellung zum Stasi-Unterlagen-Archiv macht die Arbeitsweise der Staatssicherheit begreifbar und erklärt die",en,https://www.einblick-ins-geheime.de/,False
BKM,https://www.stasi-mediathek.de/,200,200,Stasi Mediathek | Mediathek des Stasi-Unterlagen-Archivs,"Mediathek des Stasi-Unterlagen-Archivs - Akten, Fotos, Videos und Tondokumente der Stasi zeigen Struktur und Tätigkeit der Geheimpolizei",,http://www.stasi-mediathek.de/,False
BKM,https://www.stasi-unterlagen-archiv.de,301,200,Stasi-Unterlagen-Archiv - Bundesarchiv,"Das Stasi-Unterlagen-Archiv hat die Aufgabe, die Unterlagen der Staatssicherheit der DDR zu sichern, zu bewahren und verfügbar zu machen.",,https://www.bundesarchiv.de/stasi-unterlagen-archiv/,False
BKM,https://www.bkge.de,200,200,BKGE | Startseite,Übersicht der Aufgabenbereiche und aktuelle Veranstaltungen des BKGE,,https://www.bkge.de/,False
BMAS,https://www.baua.de,302,200,BAuA  -  Startseite  -  Bundesanstalt für Arbeitsschutz und Arbeitsmedizin,Bundesanstalt für Arbeitsschutz und Arbeitsmedizin - Homepage des deutschsprachigen Auftritts,,https://www.baua.de/DE/Home,False
BMAS,https://www.biozid-portal.de,302,200,Biozid-Portal  -  Startseite  -  Bundesanstalt für Arbeitsschutz und Arbeitsmedizin,Bundesanstalt für Arbeitsschutz und Arbeitsmedizin - Homepage des deutschsprachigen Auftritts,,https://www.biozid-portal.de/biozid-portal/DE/Home,False
BMAS,https://www.bmas.bund.de,unavailable,unavailable,,,,,
BMAS,https://www.bsg.bund.de,307,200,Bundessozialgericht  -  Startseite,Homepage des deutschsprachigen Auftritts,,https://www.bsg.bund.de/DE/Home/home_node.html,True
BMAS,https://www.bundesamtsozialesicherung.de,403,403,,,,,
BMAS,https://www.bundesarbeitsgericht.de,200,200,Bundesarbeitsgericht | aktuelle Entscheidungen im Arbeitsrecht,Das Bundesarbeitsgericht ist der oberste Gerichtshof der Arbeitsgerichtsbarkeit in der Bundesrepublik und hat seinen Sitz in Erfurt.,,https://www.bundesarbeitsgericht.de/,False
BMAS,https://www.denkfabrik-bmas.de,200,200,Startseite der Abteilung Denkfabrik des BMAS,"Die Denkfabrik Digitale Arbeitsgesellschaft bringt sämtliche Akteure, der sich rasch verändernden Arbeitswelt, zusammen.",,,False
BMAS,https://www.ebiomeld.de,302,200,"BAuA  -  


              

              



Biozid­­rechts-Durchführungsverordnung

              

  -  Bundesanstalt für Arbeitsschutz und Arbeitsmedizin",Bundesanstalt für Arbeitsschutz und Arbeitsmedizin - Biozid-Meldeverordnung,,https://www.ebiomeld.de/DE/bmv_node,True
BMAS,https://www.esf.de,302,200,Europäischer Sozialfonds für Deutschland  -  Startseite,Europäischer Sozialfonds für Deutschland (ESF) – Homepage des deutschsprachigen Auftritts,,https://www.esf.de/portal/DE/Startseite/inhalt.html,True
BMAS,https://www.eutb.de,200,200,EUTB.de – Ergänzende unabhängige Teilhabeberatung,,,https://www.eutb.de/,False
BMAS,https://www.foerderportal-bmas.de,302,200,FÃ¶rderportal BMAS,,,,False
BMAS,https://www.foerderportal-zeus.de,302,200,Z-EU-S,,,,False
BMAS,https://www.foga-foerderprogramm.de,302,200,FoGA Förderprogramm - Forschung zur Gesundheit in der Arbeitswelt  -  Startseite,Startseite,,https://www.foga-foerderprogramm.de/DE/Home,True
BMAS,https://www.gda-portal.de,302,200,GDA Portal  -  Startseite,Homepage des deutschsprachigen Auftritts,,https://www.gda-portal.de/DE/Home,True
BMAS,https://www.gemeinsam-einfach-machen.de,307,200,Gemeinsam einfach machen  -  Alltagssprache,Alltagssprache,,https://www.gemeinsam-einfach-machen.de/GEM/DE/AS/Home/as_node.html,True
BMAS,https://www.interaktionsarbeit.de,302,200,"Interaktionsarbeit gestalten  -  


              

              



Startseite

              

","Interaktionsarbeit ist Arbeit an und mit Menschen. Interaktionen mit anderen Menschen sind für viele Beschäftigte ein grundlegender Bestandteil ihrer täglichen Arbeit: Sie beraten und informieren, erziehen, verhandeln und vieles mehr.",,https://www.interaktionsarbeit.de/DE/Home,True
BMAS,https://www.mindestlohn-kommission.de,302,200,"Mindestlohnkommission  -  


              

              



Startseite

              

",Homepage des deutschsprachigen Auftritts,,https://www.mindestlohn-kommission.de/DE/Home,False
BMAS,https://www.mutterschaftsgeld.de,unavailable,unavailable,,,,,
BMAS,https://www.reach-clp-biozid-helpdesk.de,302,200,Helpdesk  -  Startseite  -  Bundesanstalt für Arbeitsschutz und Arbeitsmedizin,Bundesanstalt für Arbeitsschutz und Arbeitsmedizin - Homepage des deutschsprachigen Auftritts,,https://www.reach-clp-biozid-helpdesk.de/DE/Home,False
BMAS,https://www.subsportplus.eu,302,200,BAuA - SUBSPORTplus  -  Startseite  -  Bundesanstalt für Arbeitsschutz und Arbeitsmedizin,,,https://www.subsportplus.eu/subsportplus/DE/Home,False
BMBF,https://info.bmbf-fusionsforschung.de/-lp/8PD6032543/MjhZ139,200,200,,Das BMBF unterstützt Forschung auf dem Weg zum Fusionskraftwerk. Informieren Sie sich hier.,,,False
BMBF,https://lotta-bildung.de/DE/Home/home_node.html,200,200,LOTTA  -  Startseite,Homepage des deutschsprachigen Auftritts,,https://lotta-bildung.de/DE/Home/home_node.html,True
BMBF,https://www.alphadekade.de/de/home/home_node.html,200,200,AlphaDekade  -  Startseite,"Mit der AlphaDekade setzen sich Bund, Länder und Partner dafür ein, die Alphabetisierung und Grundbildung in Deutschland zu verbessern.",,de/home/home_node.html,True
BMBF,https://www.ascot-vet.net/ascot/de/home/home_node.html,200,200,Startseite - BMBF ASCOT+,Homepage des deutschsprachigen Auftritts,,https://www.ascot-vet.net/ascot/de/home/home_node.html,True
BMBF,https://www.aufstiegs-bafoeg.de/aufstiegsbafoeg/de/home/home_node.html,200,200,Startseite - BMBF Aufstiegs-BAföG,Homepage des deutschsprachigen Auftritts,,https://www.aufstiegs-bafoeg.de/aufstiegsbafoeg/de/home/home_node.html,True
BMBF,https://www.ausbildung-weltweit.de/de/home/home.html,200,200,Start - BMBF AusbildungWeltweit,Homepage des deutschsprachigen Auftritts,,https://www.ausbildung-weltweit.de/de/home/home.html,True
BMBF,https://www.berufsorientierungsprogramm.de/bop/de/home/home_node.html,200,200,"Praxis erfahren, Talente entdecken - Berufsorientierungsprogramm",,,https://www.berufsorientierungsprogramm.de/bop/de/home/home_node.html,True
BMBF,https://www.bildung-forschung.digital/digitalezukunft/de/home/home_node.html,200,200,Startseite - BMBF Digitale Zukunft,Die Themen-Webseite „Digitale Zukunft“ des Bundesministeriums für Bildung und Forschung (BMBF) informiert über digitale Bildungs-und Wissenschaftsthemen. ,,https://www.bildung-forschung.digital/digitalezukunft/de/home/home_node.html,True
BMBF,https://www.bildungsketten.de/bildungsketten/de/home/home_node.html,200,200,Startseite - BMBF Bildungsketten,Homepage des deutschsprachigen Auftritts,,https://www.bildungsketten.de/bildungsketten/de/home/home_node.html,True
BMBF,https://www.bmbf.de/DE/Home/home_node.html,200,200,Startseite  -  BMBF,,,https://www.bmbf.de/DE/Home/home_node.html,True
BMBF,https://www.bne-portal.de/bne/de/home/home_node.html,200,200,Startseite - BNE-Portal Kampagne,Homepage des deutschsprachigen Auftritts,,https://www.bne-portal.de/bne/de/home/home_node.html,True
BMBF,https://www.buendnisse-fuer-bildung.de/buendnissefuerbildung/de/home/home_node.html,200,200,Startseite - BMBF Bündnisse für Bildung,Homepage des deutschsprachigen Auftritts,,https://www.buendnisse-fuer-bildung.de/buendnissefuerbildung/de/home/home_node.html,True
BMBF,https://www.bundesbericht-forschung-innovation.de/,200,200,BuFI - Startseite,,,,False
BMBF,https://www.bundesnetzwerk-3r.de/DE/Home/home_node.html,200,200,Bundesnetzwerk 3R  -  Startseite,,,DE/Home/home_node.html,True
BMBF,https://www.clusters4future.de/,200,200,Clusters4Future.de: clusters4future,,,,False
BMBF,https://www.dekade-gegen-krebs.de/de/home/home_node.html,200,200,Startseite - Die Nationale Dekade gegen Krebs,"Auf Initiative des BMBF haben sich alle in Deutschland relevanten Akteure zusammengeschlossen, um zum Wohle der Betroffenen die Krebsforschung voranzubringen.",,https://www.dekade-gegen-krebs.de/de/home/home_node.html,True
BMBF,https://www.deutschlandstipendium.de/deutschlandstipendium/de/home/home_node.html,200,200,Startseite - BMBF Deutschlandstipendium,,,https://www.deutschlandstipendium.de/deutschlandstipendium/de/home/home_node.html,True
BMBF,https://www.die-duale.de/DE/Home/home_node.html,200,200, Startseite  -  Die Duale,"Wir haben alles rund um die duale Ausbildung zusammengetragen wie Ablauf, Prüfungen, Rechte oder Karrierechancen. Informieren Sie sich jetzt bei der Dualen!",,https://www.die-duale.de/DE/Home/home_node.html,True
BMBF,https://www.digitalpaktschule.de/,200,200,Startseite - BMBF DigitalPakt Schule,,,https://www.digitalpaktschule.de/index.html,False
BMBF,https://www.dqr.de/dqr/de/home/home_node.html,200,200,Startseite - Deutscher Qualifikationsrahmen,Homepage des deutschsprachigen Auftritts,,https://www.dqr.de/dqr/de/home/home_node.html,True
BMBF,https://www.fh-personal.de/,200,200,FH-Personal: Startseite,,,,False
BMBF,https://www.foerderinfo.bund.de/foerderinfo/de/home/home_node.html,200,200,Startseite - Förderberatung „Forschung und Innovation“ des Bundes,Homepage des deutschsprachigen Auftritts,,https://www.foerderinfo.bund.de/foerderinfo/de/home/home_node.html,True
BMBF,https://www.fona.de/de/,200,200,Forschung für Nachhaltigkeit (FONA),FONA ist die Plattform des Bundesministeriums für Bildung und Forschung (BMBF) zur Forschung für Nachhaltigkeit.,,,False
BMBF,https://www.forschung-fachhochschulen.de/fachhochschulen/de/home/home_node.html,200,200,Start - FaF Forschung an Fachhochschulen,Homepage des deutschsprachigen Auftritts,,https://www.forschung-fachhochschulen.de/fachhochschulen/de/home/home_node.html,True
BMBF,https://www.forschung-it-sicherheit-kommunikationssysteme.de/,200,200,Startseite — Vernetzung und Sicherheit digitaler Systeme,,,https://www.forschung-it-sicherheit-kommunikationssysteme.de,False
BMBF,https://www.forschungscampus.bmbf.de/,200,200,Forschungscampus: Startseite,,,,False
BMBF,https://www.ganztagsschulen.org/de/home/home_node.html,200,200,Ganztagsschulen: Startseite,Homepage des deutschsprachigen Auftritts,,https://www.ganztagsschulen.org/de/home/home_node.html,True
BMBF,https://www.geistes-und-sozialwissenschaften-bmbf.de/,200,200,"
                    Rahmenprogramm Geistes- und Sozialwissenschaften  | Geistes- & Sozialwissenschaften",Erfahren Sie Aktuelles zum Rahmenprogramm des Bundesministeriums für Bildung und Forschung „Gesellschaft verstehen – Zukunft gestalten“   ▶,,,False
BMBF,https://www.gesundheitsforschung-bmbf.de/,200,200,Startseite - Gesundheitsforschung BMBF,Eine neue Technologie kann die Ernährung älterer Menschen in Pflegeheimen entscheidend verbessern.,,https://www.gesundheitsforschung-bmbf.de/index.php,False
BMBF,https://www.go-bio.de/gobio/de/home/home_node.html,200,200,Startseite - BMBF GO-Bio,Homepage des deutschsprachigen Auftritts,,https://www.go-bio.de/gobio/de/home/home_node.html,True
BMBF,https://www.inno-vet.de/innovet/de/home/home_node.html,200,200,Startseite - BMBF InnoVET,InnoVET ist der Innovationswettbewerb des Bundesministeriums für Bildung und Forschung (BMBF) für eine exzellente berufliche Bildung. ,,https://www.inno-vet.de/innovet/de/home/home_node.html,True
BMBF,https://www.innovation-strukturwandel.de/strukturwandel/de/home/home_node.html,200,200,Startseite - BMBF Innovation & Strukturwandel,Homepage des deutschsprachigen Auftritts,,https://www.innovation-strukturwandel.de/strukturwandel/de/home/home_node.html,True
BMBF,https://www.innovative-hochschule.de/,302,200,Startseite - Innovative Hochschule,Homepage des deutschsprachigen Auftritts,,https://www.innovative-hochschule.de/ihs/de/home/home_node.html,True
BMBF,https://www.kopernikus-projekte.de/,200,200,Kopernikus-Projekte: Startseite,,,,False
BMBF,https://www.nks-bio-umw.de/,200,200,NKS Bioökonomie und Umwelt: Startseite,,,,False
BMBF,https://www.nks-dit.de/,200,200,NKS DIT: Startseite,,,,False
BMBF,https://www.oer-strategie.de/,403,403,,,,,
